phrase,context,sentiment
pricey,Bit pricey   but my cats love them.. My cats love these. Dont order in summer or when too hot as they will melt. A bit pricey  but my fur babies are worth the treat.,0
store my own food,Love these they are amazing. These are fabulous I keep my cats food in one and treats in another both stay very fresh I've had her treats for 3 months and they are still soft they're easy to open easy to shut they are perfect I'm thinking of buying some to store my own food,1
arrived in good condition,Jeopardy puzzle book. My 81 year old mom is a huge Jeopardy fan and in this time of quarantine I thought this might be a fun diversion once in a while.  It arrived in good condition  quickly (I have prime) along with other items I had ordered.  The spiral bounding makes it easy to keep the book open where you want it without struggle.,1
buying online,My very favorite candy by far. My very favorite candy by far. Buying it online is not only convenient  it saves me about 50% over local stores.,1
WORK well,Easy to use and they WORK well. Will be buying more.,1
LOVE THIS MAGAZINE,LOVE THIS MAGAZINE. What's not to like about this magazine ?!?!?! Easy reading and beautiful pictures.,1
gets in the way,Another bad design.. Forget it! It does nothing like stated. Just gets in the way!,0
easy to apply,Another great product from L'oreal!. I am 63 years old and am currently experiencing really sparse eye brows (this is a relatively recent problem within the last few years). Anyway  I love this Unbelieva-Brow product. It is super easy to apply and it covers everything (including my grays). It helps me fill in my aging 'gaps' in eyebrows. I will never use another brow product (unless of course L'Oreal comes out with something newer or more advanced. Just love this and highly recommend!,1
Auntie Poldi and the Sicilian Lions,I greatly enjoyed Auntie Poldi and the Sicilian Lions. As a huge fan of the inspector Montalbano series and other international detective stories  I greatly enjoyed Auntie Poldi and the Sicilian Lions.  The pacing keeps you on the edge of your seat  and  although some elements require you to seriously suspend credibility  overall this is a highly entertaining romp.  Beautiful Sicily is the real star here   and you’ll find plenty of romance and hijinks with the high-spirited German expat Auntie Poldi  who has a few tricks up her fashionable sleeve  and who has set her sights on hunky police detective Vito Montana  and the tension between the two simmers and sizzles for much of the book.  The daughter of a German police detective  Poldi possesses great instincts and a knack for sleuththing that has her trying to find a killer involved with the mafia.  I can’t wait to read more of her adventures in the second book Fruits of the Lord.,1
loved this,Really much funnier and entertaining than I expected. I was a little leery about chosing this DVD thinking it would be a little too mild to be funny. But I actually found myself laughing at most of the comedians (most of whom I had never seen before). I would recommend this to anyone who is tired of dirty talking  nasty comedians and is looking for an alternative entertainment format. I loved this  will definitely be looking into prior releases to purchase for my collection.,1
Recommend from all my heart!,Excellent journalism for a fair price. Excellent surveys  original articles. The level is amazing for 1$/ issue price. Recommend from all my heart!,1
shepherd can open the gate,Gate. one of the bars broke right away use a zip tie to hold it in place so I gave a it ok rating other than that it works great but my shepherd can open the gate when she hits it hard enough lol,0
